player_id,Player Name,team_id,team_name,tournament_id,Yellow URL,stage_name,tournament_name,team_code,Second Yellow URL,Red URL,minute_label,match_period,match_name,match_id,Year,Quarter,Month,Day,group_name,booking_id,Sum of yellow_card,Sum of shirt_number,Sum of sending_off,Sum of second_yellow_card,Sum of red_card,Sum of minute_stoppage,Sum of minute_regulation,Sum of home_team,Sum of away_team
P-00436,Phoebe Ebimiekumo,T-50,Nigeria,WC-1995,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1995 FIFA Women's World Cup,NGA,"","",5',first half,Nigeria vs England,M-1995-15,1995,Qtr 2,June,10,Group B,B-1674,1,14,0,0,0,0,5,1,0
P-00445,Frank Arnesen,T-22,Denmark,WC-1986,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1986 FIFA Men's World Cup,DNK,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,"",36',first half,Denmark vs West Germany,M-1986-35,1986,Qtr 2,June,13,Group E,B-1128,1,15,1,1,0,0,36,1,0
P-00471,Christie Rampone,T-83,United States,WC-2007,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2007 FIFA Women's World Cup,USA,"","",45',first half,United States vs North Korea,M-2007-02,2007,Qtr 3,September,11,Group B,B-2653,1,3,0,0,0,0,45,1,0
P-00556,Anita Rapp,T-53,Norway,WC-2003,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2003 FIFA Women's World Cup,NOR,"","",86',second half,Norway vs France,M-2003-01,2003,Qtr 3,September,20,Group B,B-2246,1,9,0,0,0,0,86,1,0
P-00585,Omar Al-Ghamdi,T-63,Saudi Arabia,WC-2006,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2006 FIFA Men's World Cup,SAU,"","",57',second half,Saudi Arabia vs Ukraine,M-2006-31,2006,Qtr 2,June,19,Group H,B-2465,1,6,0,0,0,0,57,1,0
P-00619,Andoni Goikoetxea,T-73,Spain,WC-1994,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,round of 16,1994 FIFA Men's World Cup,ESP,"","",18',first half,Spain vs Switzerland,M-1994-38,1994,Qtr 3,July,2,not applicable,B-1555,1,7,0,0,0,0,18,1,0
P-00640,Ziad Jaziri,T-79,Tunisia,WC-2002,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2002 FIFA Men's World Cup,TUN,"","",75',second half,Russia vs Tunisia,M-2002-15,2002,Qtr 2,June,5,Group H,B-2029,1,5,0,0,0,0,75,0,1
P-00640,Ziad Jaziri,T-79,Tunisia,WC-2006,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2006 FIFA Men's World Cup,TUN,"","",85',second half,Spain vs Tunisia,M-2006-32,2006,Qtr 2,June,19,Group H,B-2474,1,5,0,0,0,0,85,0,1
P-00640,Ziad Jaziri,T-79,Tunisia,WC-2006,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2006 FIFA Men's World Cup,TUN,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,"",9',first half,Ukraine vs Tunisia,M-2006-46,2006,Qtr 2,June,23,Group H,B-2541,1,5,1,1,0,0,9,0,1
P-00643,Luis FernÃ¡ndez,T-30,France,WC-1986,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1986 FIFA Men's World Cup,FRA,"","",40',first half,France vs Soviet Union,M-1986-14,1986,Qtr 2,June,5,Group C,B-1077,1,9,0,0,0,0,40,1,0
P-00643,Luis FernÃ¡ndez,T-30,France,WC-1986,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,semi-finals,1986 FIFA Men's World Cup,FRA,"","",89',second half,France vs West Germany,M-1986-49,1986,Qtr 2,June,25,not applicable,B-1179,1,9,0,0,0,0,89,1,0
